Genus	Wu 2016 (healthy)	Böringen 2017	Vallès 2018	Beghini 2019	Yang 2019	Sato 16S 2020	Jia 2021	Poulsen 2022
Abiotrophia	-1	0	0	0	0	0	0	0
Actinobacillus	0	0	-1	-1	0	0	0	0
Actinomyces	0	0	0	0	1	0	1	0
Aggregatibacter	-1	0	-1	0	1	0	-1	-1
Alloprevotella	0	0	0	0	0	-1	0	-1
Anaerovorax	0	0	0	0	0	1	0	0
Atopobium	0	1	1	0	1	1	1	1
Bergeyella	0	0	0	-1	0	0	0	-1
Bifidobacterium	0	1	1	0	1	0	0	0
Campylobacter	0	0	1	1	0	-1	1	1
Capnocytophaga	-1	0	-1	0	-1	-1	0	-1
Cardiobacterium	-1	0	-1	0	-1	-1	-1	0
Catonella	-1	0	0	0	0	-1	0	0
Corynebacterium	-1	0	0	0	0	1	0	0
Desulfobulbus	1	0	0	0	0	0	0	0
Dialister	0	0	1	0	0	0	0	0
Eikenella	-1	0	-1	0	0	0	-1	0
Eubacterium	0	0	0	0	-1	-1	0	0
Filifactor	0	0	0	0	0	1	0	0
Fusobacterium	0	0	-1	0	0	-1	0	-1
Gemella	0	0	-1	1	-1	-1	0	-1
Haemophilus	0	0	-1	-1	-1	-1	-1	-1
Kingella	0	0	0	0	-1	0	-1	-1
Lachnoanaerobaculum	0	0	0	0	0	-1	0	0
Lachnospiraceae_[G-2]	0	0	0	0	-1	0	0	0
Lactobacillus	0	1	0	0	1	0	0	0
Lactococcus	1	1	0	0	0	0	0	0
Lautropia	-1	-1	-1	0	-1	-1	-1	-1
Leptotrichia	0	0	-1	1	0	-1	0	-1
Megasphaera	0	0	1	1	1	1	1	1
Mogibacterium	0	0	0	0	0	0	0	1
Moraxella	0	0	0	0	0	0	-1	0
Mycoplasma	0	0	1	0	0	1	0	0
Neisseria	-1	-1	-1	-1	-1	-1	-1	-1
Oribacterium	-1	0	0	0	0	-1	1	-1
Paludibacter	0	0	1	0	0	1	0	0
Peptococcus	-1	0	0	0	0	-1	-1	0
Peptostreptococcaceae_[XI][G-1]	0	0	0	0	0	0	0	-1
Peptostreptococcus	-1	0	-1	0	0	-1	0	0
Porphyromonas	-1	0	-1	-1	0	-1	0	-1
Prevotella	0	1	1	0	0	0	1	0
Rothia	0	-1	0	0	1	1	0	1
Scardovia	-1	0	0	0	0	0	0	0
Schaalia	0	0	0	0	0	0	0	1
Selenomonas	0	0	0	0	0	0	0	-1
Slackia	1	0	0	0	0	0	0	0
Solobacterium	0	0	0	0	0	-1	0	0
Staphylococcus	1	0	0	0	0	0	0	0
Stomatobaculum	0	0	0	1	0	-1	0	0
Streptococcus	0	1	0	-1	0	1	0	1
Tannerella	0	0	0	0	0	1	0	0
TG5	0	1	0	0	0	0	0	0
Treponema	0	1	0	1	1	0	0	0
Veillonella	1	0	0	1	0	0	1	1
